filename,n_bytes,raw_write_rate_mibs,net_write_rate_mibs,collective_writes,aggregators,created
lfric_ppvar_2021060200-2021060201.nc,1314022052,6742.1,3959.222,41,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060201-2021060202.nc,1314022052,7296.905,4732.914,41,4,2025-12-11 17:34:58.779049
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424722,1922.419,538.408,330,4,2025-12-11 17:34:58.779049
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693380,877.332,229.744,57,4,2025-12-11 17:34:58.779049
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016657,2447.493,1434.389,103,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060202-2021060203.nc,1314022052,4477.29,1799.882,41,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060203-2021060204.nc,1314022052,6952.617,4583.868,41,4,2025-12-11 17:34:58.779049
lfric_name_2021060200-2021060203.nc,862536750,7378.49,4166.763,59,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060204-2021060205.nc,1314022052,6790.883,4329.12,41,4,2025-12-11 17:34:58.779049
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964613,7402.48,4047.434,29,4,2025-12-11 17:34:58.779049
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424722,3471.424,1117.609,330,4,2025-12-11 17:34:58.779049
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693380,7911.906,2105.608,57,4,2025-12-11 17:34:58.779049
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016657,5365.888,2569.348,103,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060205-2021060206.nc,1314022052,7211.499,4964.789,41,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060206-2021060207.nc,1314022052,7009.349,4675.796,41,4,2025-12-11 17:34:58.779049
lfric_name_2021060203-2021060206.nc,862536750,6341.355,3252.259,59,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060207-2021060208.nc,1314022052,7064.272,4647.708,41,4,2025-12-11 17:34:58.779049
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964613,8221.919,5178.662,29,4,2025-12-11 17:34:58.779049
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424722,4345.898,1511.103,330,4,2025-12-11 17:34:58.779049
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693380,614.635,154.182,57,4,2025-12-11 17:34:58.779049
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016657,3891.426,1492.688,103,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060208-2021060209.nc,1314022052,6548.923,3779.299,41,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060209-2021060210.nc,1314022052,7305.533,5108.159,41,4,2025-12-11 17:34:58.779049
lfric_name_2021060206-2021060209.nc,862536750,7598.844,4426.078,59,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060210-2021060211.nc,1314022052,6280.46,4100.939,41,4,2025-12-11 17:34:58.779049
lfric_gl_model_levs_diags_3hr_2021060206-2021060209.nc,464964613,7160.444,3797.505,29,4,2025-12-11 17:34:58.779049
lfric_gl_std_levs_diags_1hr_2021060209-2021060212.nc,1573424722,2647.215,790.279,330,4,2025-12-11 17:34:58.779049
lfric_gl_std_levs_diags_3hr_2021060209-2021060212.nc,114693380,7801.353,2218.463,57,4,2025-12-11 17:34:58.779049
lfric_gl_model_levs_diags_1hr_2021060209-2021060212.nc,5919016657,4484.452,1890.651,103,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060211-2021060212.nc,1314022052,7091.681,4774.592,41,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060212-2021060213.nc,1314022052,1132.084,315.101,41,4,2025-12-11 17:34:58.779049
lfric_name_2021060209-2021060212.nc,862536750,6604.066,3642.019,59,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060213-2021060214.nc,1314022052,6946.509,4710.875,41,4,2025-12-11 17:34:58.779049
lfric_gl_model_levs_diags_3hr_2021060209-2021060212.nc,464964613,8321.326,5427.586,29,4,2025-12-11 17:34:58.779049
lfric_gl_std_levs_diags_1hr_2021060212-2021060215.nc,1573424722,4897.683,1802.237,330,4,2025-12-11 17:34:58.779049
lfric_gl_std_levs_diags_3hr_2021060212-2021060215.nc,114693380,7722.661,1981.274,57,4,2025-12-11 17:34:58.779049
lfric_gl_model_levs_diags_1hr_2021060212-2021060215.nc,5919016657,4909.121,2204.753,103,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060214-2021060215.nc,1314022052,6978.632,4714.631,41,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060215-2021060216.nc,1314022052,6973.85,4489.472,41,4,2025-12-11 17:34:58.779049
lfric_name_2021060212-2021060215.nc,862536750,6921.841,4012.601,59,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060216-2021060217.nc,1314022052,7325.318,5278.94,41,4,2025-12-11 17:34:58.779049
lfric_gl_model_levs_diags_3hr_2021060212-2021060215.nc,464964613,7663.969,4414.888,29,4,2025-12-11 17:34:58.779049
lfric_gl_std_levs_diags_1hr_2021060215-2021060218.nc,1573424722,1915.832,547.291,330,4,2025-12-11 17:34:58.779049
lfric_gl_std_levs_diags_3hr_2021060215-2021060218.nc,114693380,6661.611,1905.087,57,4,2025-12-11 17:34:58.779049
lfric_gl_model_levs_diags_1hr_2021060215-2021060218.nc,5919016657,5533.648,2776.078,103,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060217-2021060218.nc,1314022052,1343.392,381.067,41,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060218-2021060219.nc,1314022052,7092.6,4894.688,41,4,2025-12-11 17:34:58.779049
lfric_name_2021060215-2021060218.nc,862536750,1687.301,484.924,59,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060219-2021060220.nc,1314022052,7094.633,4833.489,41,4,2025-12-11 17:34:58.779049
lfric_gl_model_levs_diags_3hr_2021060215-2021060218.nc,464964613,7166.898,4178.065,29,4,2025-12-11 17:34:58.779049
lfric_gl_std_levs_diags_1hr_2021060218-2021060221.nc,1573424722,2882.441,872.266,330,4,2025-12-11 17:34:58.779049
lfric_gl_std_levs_diags_3hr_2021060218-2021060221.nc,114693380,3539.924,1069.718,57,4,2025-12-11 17:34:58.779049
lfric_gl_model_levs_diags_1hr_2021060218-2021060221.nc,5919016657,2914.673,993.451,103,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060220-2021060221.nc,1314022052,1172.617,327.366,41,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060221-2021060222.nc,1314022052,6775.765,4459.959,41,4,2025-12-11 17:34:58.779049
lfric_name_2021060218-2021060221.nc,862536750,7621.115,4678.93,59,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060222-2021060223.nc,1314022052,5546.08,2800.824,41,4,2025-12-11 17:34:58.779049
lfric_gl_model_levs_diags_3hr_2021060218-2021060221.nc,464964613,7668.291,4735.648,29,4,2025-12-11 17:34:58.779049
lfric_gl_std_levs_diags_1hr_2021060221-2021060300.nc,1573424722,2656.274,802.917,330,4,2025-12-11 17:34:58.779049
lfric_gl_std_levs_diags_3hr_2021060221-2021060300.nc,114693380,4547.9,1373.611,57,4,2025-12-11 17:34:58.779049
lfric_gl_model_levs_diags_1hr_2021060221-2021060300.nc,5919016657,4675.468,2278.693,103,4,2025-12-11 17:34:58.779049
lfric_gl_model_levs_diags_3hr_2021060221-2021060300.nc,464964613,8118.003,5255.545,29,4,2025-12-11 17:34:58.779049
lfric_ver_tp0.nc,303654045,8221.128,3650.518,46,4,2025-12-11 17:34:58.779049
lfric_ver.nc,1137088816,6091.892,2720.419,167,4,2025-12-11 17:34:58.779049
lfric_name_2021060221-2021060300.nc,862536750,6920.229,3792.167,59,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060223-2021060300.nc,1314022052,6800.278,4327.106,41,4,2025-12-11 17:34:58.779049
lfric_ppscreen.nc,1394639399,6841.616,4200.343,41,4,2025-12-11 17:34:58.779049
lfric_bg_for_hofx.nc,37779248424,3633.498,1347.003,957,4,2025-12-11 17:34:58.779049
lfric_bg_for_land_hofx.nc,60337359,619.662,173.757,41,4,2025-12-11 17:34:58.779049
lfric_initial.nc,886433697,7438.323,4099.769,29,4,2025-12-11 17:34:58.779049
lfric_ppvar_2021060200-2021060201.nc,1314022052,1100.933,307.608,41,4,2025-12-11 17:43:07.093905
lfric_ppvar_2021060201-2021060202.nc,1314022052,6787.324,4528.991,41,4,2025-12-11 17:43:07.093905
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424722,2264.437,661.383,330,4,2025-12-11 17:43:07.093905
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693380,1579.793,450.19,57,4,2025-12-11 17:43:07.093905
