observed,p,striping,xios_nodes,sample_size
0.02119404081632653,0.235,unstriped,1,3500
0.08551132653061222,0.0,striped,2,3500
0.12897355102040808,0.0,unstriped,2,3500
0.09491808163265314,0.0,striped,4,3500
0.13804930612244903,0.0,unstriped,4,3500
